Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
CTV-1	753548	blood	acute_myeloid_leukaemia	1
D-542MG	753549	nervous_system	glioma	0
DMS-79	753551	lung	lung_small_cell_carcinoma	0
DSH1	753552	urogenital_system	Bladder	0
DV-90	753553	lung	lung_NSCLC_adenocarcinoma	1
EC-GI-10	753555	aero_digestive_tract	oesophagus	0
EPLC-272H	753556	lung	lung_NSCLC_squamous_cell_carcinoma	0
HCE-4	753559	aero_digestive_tract	oesophagus	0
HSC-2	753562	aero_digestive_tract	head_and_neck	0
IM-9	753563	blood	Myeloma	0
IST-SL1	753564	lung	lung_small_cell_carcinoma	0
IST-SL2	753565	lung	lung_small_cell_carcinoma	0
J82	753566	urogenital_system	Bladder	0
KNS-62	753569	lung	lung_NSCLC_squamous_cell_carcinoma	0
KOSC-2	753570	aero_digestive_tract	head_and_neck	0
KP-4	753572	pancreas	pancreas	0
KYSE-140	753573	aero_digestive_tract	oesophagus	0
KYSE-410	753574	aero_digestive_tract	oesophagus	0
KYSE-520	753575	aero_digestive_tract	oesophagus	0
KYSE-70	753576	aero_digestive_tract	oesophagus	0
LB1047-RCC	753577	kidney	kidney	1
LB2241-RCC	753578	kidney	kidney	0
LB2518-MEL	753579	skin	melanoma	0
LB373-MEL-D	753581	skin	melanoma	0
LB647-SCLC	753582	lung	lung_small_cell_carcinoma	1
LB771-HNC	753583	aero_digestive_tract	head_and_neck	0
LB831-BLC	753584	urogenital_system	Bladder	0
LB996-RCC	753585	kidney	kidney	0
LCLC-103H	753586	lung	lung_NSCLC_large_cell	0
LU-134-A	753588	lung	lung_small_cell_carcinoma	0
LU-165	753589	lung	lung_small_cell_carcinoma	0
LXF-289	753592	lung	lung_NSCLC_adenocarcinoma	0
MS-1	753594	lung	lung_small_cell_carcinoma	0
MZ1-PC	753595	pancreas	pancreas	0
MZ7-mel	753596	skin	melanoma	0
NCI-H128	753597	lung	lung_small_cell_carcinoma	0
NCI-H1304	753599	lung	lung_small_cell_carcinoma	0
NCI-H1563	753600	lung	lung_NSCLC_adenocarcinoma	0
NCI-H1618	753601	lung	lung_small_cell_carcinoma	0
NCI-H292	753604	lung	lung_NSCLC_adenocarcinoma	1
NCI-H510A	753605	lung	lung_small_cell_carcinoma	0
PC-14	753608	lung	lung_NSCLC_adenocarcinoma	0
SCLC-21H	753611	lung	lung_small_cell_carcinoma	0
SK-MM-2	753612	blood	Myeloma	0
TE-15	753614	aero_digestive_tract	oesophagus	0
U-266	753615	blood	Myeloma	0
SIMA	753620	nervous_system	neuroblastoma	0
TE-1	753621	aero_digestive_tract	oesophagus	0
TE-10	753622	aero_digestive_tract	oesophagus	0
TE-8	753623	aero_digestive_tract	oesophagus	0
CAPAN-1	753624	pancreas	pancreas	0
OVCAR-3	905933	urogenital_system	ovary	0
PC-3	905934	urogenital_system	prostate	0
DU-145	905935	urogenital_system	prostate	1
HCT-116	905936	digestive_system	large_intestine	1
HCT-15	905937	digestive_system	large_intestine	1
HL-60	905938	blood	acute_myeloid_leukaemia	0
HT-29	905939	digestive_system	large_intestine	0
K-562	905940	blood	chronic_myeloid_leukaemia	0
NCI-H226	905941	lung	lung_NSCLC_squamous_cell_carcinoma	0
NCI-H23	905942	lung	lung_NSCLC_adenocarcinoma	0
NCI-H460	905943	lung	lung_NSCLC_large_cell	0
NCI-H522	905944	lung	lung_NSCLC_adenocarcinoma	0
T47D	905945	breast	breast	0
MCF7	905946	breast	breast	0
786-0	905947	kidney	kidney	0
A498	905948	kidney	kidney	0
A549	905949	lung	lung_NSCLC_adenocarcinoma	0
ACHN	905950	kidney	kidney	0
BT-549	905951	breast	breast	0
CCRF-CEM	905952	blood	lymphoblastic_leukemia	1
SK-MEL-28	905954	skin	melanoma	0
SK-MEL-2	905955	skin	melanoma	1
SK-MEL-5	905956	skin	melanoma	0
Hs-578-T	905957	breast	breast	0
MOLT-4	905958	blood	lymphoblastic_leukemia	1
SK-OV-3	905959	urogenital_system	ovary	1
MDA-MB-231	905960	breast	breast	0
COLO-205	905961	digestive_system	large_intestine	0
SW620	905962	digestive_system	large_intestine	0
CAKI-1	905963	kidney	kidney	0
RPMI-8226	905964	blood	Myeloma	0
SR	905965	blood	lymphoid_neoplasm_other	0
NCI-H322M	905967	lung	lung_NSCLC_adenocarcinoma	0
IGROV-1	905968	urogenital_system	ovary	1
OVCAR-5	905969	urogenital_system	ovary	0
EKVX	905970	lung	lung_NSCLC_adenocarcinoma	0
HCC2998	905971	digestive_system	large_intestine	0
HOP-62	905972	lung	lung_NSCLC_adenocarcinoma	0
HOP-92	905973	lung	lung_NSCLC_large_cell	0
LOXIMVI	905974	skin	melanoma	0
M14	905975	skin	melanoma	0
UACC-62	905976	skin	melanoma	0
UACC-257	905977	skin	melanoma	0
RXF393	905978	kidney	kidney	0
SN12C	905979	kidney	kidney	0
TK10	905980	kidney	kidney	0
U031	905981	kidney	kidney	0
SNB75	905982	nervous_system	glioma	0
U251	905983	nervous_system	glioma	0
SF539	905984	nervous_system	glioma	0
SF295	905985	nervous_system	glioma	0
SF268	905986	nervous_system	glioma	0
KM12	905989	digestive_system	large_intestine	1
OVCAR-4	905990	urogenital_system	ovary	0
OVCAR-8	905991	urogenital_system	ovary	0
BxPC-3	906693	pancreas	pancreas	0
BHT-101	906696	thyroid	thyroid	0
Becker	906746	nervous_system	glioma	0
BE-13	906763	blood	lymphoblastic_leukemia	0
ARH-77	906765	blood	Myeloma	0
AGS	906790	digestive_system	stomach	0
ABC-1	906791	lung	lung_NSCLC_adenocarcinoma	0
A2058	906792	skin	melanoma	0
A375	906793	skin	melanoma	0
A253	906794	aero_digestive_tract	head_and_neck	0
8305C	906795	thyroid	thyroid	0
647-V	906797	urogenital_system	Bladder	0
639-V	906798	urogenital_system	Bladder	0
697	906800	blood	lymphoblastic_leukemia	0
BT-20	906801	breast	breast	0
ACN	906803	nervous_system	neuroblastoma	0
A2780	906804	urogenital_system	ovary	1
COR-L105	906805	lung	lung_NSCLC_adenocarcinoma	0
CRO-AP2	906807	blood	B_cell_lymphoma	0
COR-L88	906808	lung	lung_small_cell_carcinoma	0
COLO-824	906812	breast	breast	0
COLO-800	906813	skin	melanoma	0
COLO-792	906814	skin	melanoma	0
COLO-741	906815	digestive_system	large_intestine	0
COLO-680N	906817	aero_digestive_tract	oesophagus	0
COLO-679	906818	skin	melanoma	0
CHP-212	906820	nervous_system	neuroblastoma	0
CFPAC-1	906821	pancreas	pancreas	0
CCF-STTG1	906823	nervous_system	glioma	0
Ca-Ski	906824	urogenital_system	cervix	0
Caov-3	906825	urogenital_system	ovary	0
CAL-120	906826	breast	breast	0
CAL-72	906827	bone	osteosarcoma	1
CAL-62	906828	thyroid	thyroid	0
C32	906830	skin	melanoma	0
Daudi	906831	blood	Burkitt_lymphoma	1
DB	906832	blood	B_cell_lymphoma	0
Daoy	906833	nervous_system	medulloblastoma	0
D-283MED	906834	nervous_system	medulloblastoma	0
DBTRG-05MG	906835	nervous_system	glioma	0
DEL	906836	blood	lymphoid_neoplasm_other	0
Detroit562	906837	aero_digestive_tract	head_and_neck	0
DG-75	906838	blood	Burkitt_lymphoma	1
DK-MG	906839	nervous_system	glioma	0
DJM-1	906841	skin	skin_other	0
DOHH-2	906842	blood	B_cell_lymphoma	0
DoTc2-4510	906843	urogenital_system	cervix	0
DU-4475	906844	breast	breast	0
EB2	906846	blood	Burkitt_lymphoma	1
EB-3	906847	blood	Burkitt_lymphoma	0
ECC10	906848	digestive_system	stomach	0
ECC12	906849	digestive_system	stomach	0
ECC4	906850	digestive_system	digestive_system_other	0
EFM-19	906851	breast	breast	0
EFO-27	906852	urogenital_system	ovary	1
EGI-1	906853	digestive_system	biliary_tract	0
EHEB	906854	blood	lymphoid_neoplasm_other	0
EM-2	906855	blood	chronic_myeloid_leukaemia	0
EoL-1-cell	906856	blood	haematopoietic_neoplasm_other	0
ETK-1	906861	digestive_system	biliary_tract	0
EVSA-T	906862	breast	breast	0
FADU	906863	aero_digestive_tract	head_and_neck	0
FTC-133	906864	thyroid	thyroid	0
G-361	906865	skin	melanoma	0
GAMG	906868	nervous_system	glioma	0
GCIY	906869	digestive_system	stomach	0
GDM-1	906870	blood	acute_myeloid_leukaemia	0
GI-1	906871	nervous_system	glioma	0
GI-ME-N	906872	nervous_system	neuroblastoma	0
GMS-10	906873	nervous_system	glioma	0
GOTO	906875	nervous_system	neuroblastoma	0
GR-ST	906877	blood	lymphoblastic_leukemia	1
GCT	906999	soft_tissue	soft_tissue_other	0
ESS-1	907000	urogenital_system	endometrium	0
GT3TKB	907041	digestive_system	stomach	1
H4	907042	nervous_system	glioma	0
H9	907043	blood	lymphoid_neoplasm_other	0
HC-1	907044	blood	hairy_cell_leukaemia	0
HCC1419	907045	breast	breast	0
HCC1569	907046	breast	breast	1
HCC1806	907047	breast	breast	0
HCC70	907048	breast	breast	0
HD-MY-Z	907050	blood	Hodgkin_lymphoma	0
HEC-1	907051	urogenital_system	endometrium	1
HEL	907053	blood	acute_myeloid_leukaemia	0
HGC-27	907055	digestive_system	stomach	0
HH	907056	blood	T_cell_leukemia	0
HLE	907057	digestive_system	liver	0
HMV-II	907058	skin	melanoma	0
HN	907059	aero_digestive_tract	head_and_neck	0
HOS	907060	bone	osteosarcoma	0
HSC-3	907061	aero_digestive_tract	head_and_neck	0
HSC-4	907062	aero_digestive_tract	head_and_neck	0
HT	907063	blood	B_cell_lymphoma	1
HT-1080	907064	soft_tissue	fibrosarcoma	0
HT-1197	907065	urogenital_system	Bladder	0
HT-1376	907066	urogenital_system	Bladder	0
HT-144	907067	skin	melanoma	0
HT-3	907068	urogenital_system	cervix	0
HuCCT1	907069	digestive_system	biliary_tract	0
HuH-7	907071	digestive_system	liver	0
HuO9	907072	bone	osteosarcoma	0
HUTU-80	907073	digestive_system	digestive_system_other	0
IGR-1	907169	skin	melanoma	0
IMR-5	907170	nervous_system	neuroblastoma	0
IPC-298	907171	skin	melanoma	0
IST-MEL1	907172	skin	melanoma	0
IST-MES1	907173	lung	mesothelioma	0
JAR	907175	urogenital_system	urogenital_system_other	0
JEG-3	907176	urogenital_system	urogenital_system_other	0
JiyoyeP-2003	907268	blood	Burkitt_lymphoma	1
JVM-2	907269	blood	lymphoid_neoplasm_other	0
JVM-3	907270	blood	lymphoid_neoplasm_other	0
KALS-1	907271	nervous_system	glioma	0
KARPAS-45	907272	blood	lymphoblastic_leukemia	0
KARPAS-299	907273	blood	anaplastic_large_cell_lymphoma	0
KARPAS-422	907274	blood	B_cell_lymphoma	0
KASUMI-1	907275	blood	acute_myeloid_leukaemia	0
KE-37	907277	blood	lymphoblastic_leukemia	0
KG-1	907278	blood	acute_myeloid_leukaemia	0
KINGS-1	907279	nervous_system	glioma	0
KMOE-2	907280	blood	acute_myeloid_leukaemia	0
KNS-42	907282	nervous_system	glioma	0
K052	907284	blood	acute_myeloid_leukaemia	1
HuP-T3	907285	pancreas	pancreas	0
HuP-T4	907286	pancreas	pancreas	0
HT55	907287	digestive_system	large_intestine	0
H-EMC-SS	907290	bone	chondrosarcoma	0
GP5d	907291	digestive_system	large_intestine	1
DMS-53	907295	lung	lung_small_cell_carcinoma	0
G-402	907298	soft_tissue	soft_tissue_other	0
G-401	907299	kidney	kidney	0
KY821	907300	blood	leukemia	0
KU812	907311	blood	chronic_myeloid_leukaemia	0
KU-19-19	907312	urogenital_system	Bladder	0
KS-1	907313	nervous_system	glioma	0
KP-N-YN	907314	nervous_system	neuroblastoma	0
KYSE-150	907317	aero_digestive_tract	oesophagus	0
KYSE-180	907318	aero_digestive_tract	oesophagus	0
KYSE-270	907319	aero_digestive_tract	oesophagus	0
KYSE-450	907320	aero_digestive_tract	oesophagus	0
KYSE-510	907321	aero_digestive_tract	oesophagus	0
L-428	907322	blood	Hodgkin_lymphoma	1
L-540	907323	blood	Hodgkin_lymphoma	0
J-RT3-T3-5	907391	blood	lymphoblastic_T_cell_leukaemia	1
LAMA-84	907783	blood	chronic_myeloid_leukaemia	0
LC-1F	907785	lung	lung_NSCLC_squamous_cell_carcinoma	0
LC-2-ad	907786	lung	lung_NSCLC_adenocarcinoma	0
LC4-1	907787	blood	lymphoblastic_leukemia	0
LNCaP-Clone-FGC	907788	urogenital_system	prostate	1
LOUCY	907789	blood	lymphoblastic_T_cell_leukaemia	0
