Cell Line	Cosmic_ID	Cancer Type	Tissue	MS-HL
CESS	910688	blood	acute_myeloid_leukaemia	0
COLO-678	910689	digestive_system	large_intestine	0
COLO-684	910691	urogenital_system	endometrium	1
COLO-668	910692	lung	lung_small_cell_carcinoma	0
LN-405	910694	nervous_system	glioma	0
TGBC24TKB	910695	digestive_system	biliary_tract	0
TI-73	910696	bone	osteosarcoma	0
A388	910697	skin	skin_other	0
BFTC-909	910698	kidney	kidney	0
C2BBe1	910700	digestive_system	large_intestine	0
SCC-25	910701	aero_digestive_tract	head_and_neck	0
AsPC-1	910702	pancreas	pancreas	0
CA46	910703	blood	Burkitt_lymphoma	0
AU565	910704	breast	breast	0
BALL-1	910705	blood	B_cell_leukemia	0
BL-41	910706	blood	Burkitt_lymphoma	0
BL-70	910707	blood	Burkitt_lymphoma	0
BV-173	910710	blood	chronic_myeloid_leukaemia	0
IA-LM	910779	lung	lung_NSCLC_large_cell	0
TGW	910780	nervous_system	neuroblastoma	0
AN3-CA	910781	urogenital_system	endometrium	1
A204	910784	soft_tissue	rhabdomyosarcoma	0
NY	910849	bone	osteosarcoma	0
C3A	910850	digestive_system	liver	0
A427	910851	lung	lung_NSCLC_not_specified	0
CAL-85-1	910852	breast	breast	0
CHL-1	910853	skin	melanoma	0
RL	910861	blood	B_cell_lymphoma	0
NCI-H1651	910900	lung	lung_NSCLC_adenocarcinoma	0
RPMI-7951	910903	skin	melanoma	0
SCC-4	910904	aero_digestive_tract	head_and_neck	0
SNU-C1	910905	digestive_system	large_intestine	0
ST486	910906	blood	Burkitt_lymphoma	0
SW1990	910907	pancreas	pancreas	0
UACC-812	910910	breast	breast	0
SCC-15	910911	aero_digestive_tract	head_and_neck	0
Capan-2	910915	pancreas	pancreas	0
CAL-27	910916	aero_digestive_tract	head_and_neck	0
BC-3	910918	blood	B_cell_lymphoma	0
BC-1	910919	blood	B_cell_lymphoma	0
A704	910920	kidney	kidney	1
A101D	910921	skin	melanoma	0
769-P	910922	kidney	kidney	1
23132-87	910924	digestive_system	stomach	1
A431	910925	skin	skin_other	0
BFTC-905	910926	urogenital_system	Bladder	1
CAL-51	910927	breast	breast	1
SCC-3	910930	blood	B_cell_lymphoma	0
RERF-LC-MS	910931	lung	lung_NSCLC_adenocarcinoma	0
GAK	910932	skin	melanoma	0
AM-38	910933	nervous_system	glioma	0
A4-Fuk	910934	blood	B_cell_lymphoma	0
A3-KAW	910935	blood	B_cell_lymphoma	0
DOK	910936	aero_digestive_tract	head_and_neck	0
COR-L279	910937	lung	lung_small_cell_carcinoma	0
CHP-134	910941	nervous_system	neuroblastoma	0
NEC8	910942	urogenital_system	testis	0
CAS-1	910943	nervous_system	glioma	0
ALL-PO	910944	blood	lymphoblastic_leukemia	0
S-117	910946	thyroid	thyroid	0
OCI-AML2	910947	blood	acute_myeloid_leukaemia	0
MFM-223	910948	breast	breast	0
CAL-54	910952	kidney	kidney	0
EFO-21	911905	urogenital_system	ovary	0
LS-1034	917486	digestive_system	large_intestine	0
22RV1	924100	urogenital_system	prostate	1
8505C	924102	thyroid	thyroid	0
BCPAP	924104	thyroid	thyroid	0
BPH-1	924105	urogenital_system	prostate	0
CAL-148	924106	breast	breast	0
CAL-39	924107	urogenital_system	cervix	0
CaR-1	924108	digestive_system	large_intestine	0
EFE-184	924109	urogenital_system	endometrium	0
HDLM-2	924110	blood	Hodgkin_lymphoma	0
HO-1-N-1	924111	aero_digestive_tract	head_and_neck	0
HTC-C3	924151	thyroid	thyroid	0
KGN	924186	urogenital_system	ovary	0
KLE	924187	urogenital_system	endometrium	0
KNS-81-FD	924188	nervous_system	glioma	0
KP-N-RT-BM-1	924189	nervous_system	neuroblastoma	0
K5	924238	thyroid	thyroid	0
L-363	924239	blood	Myeloma	0
MDA-MB-415	924240	breast	breast	0
NCI-H250	924241	lung	lung_small_cell_carcinoma	1
NCI-H719	924242	lung	lung_small_cell_carcinoma	0
NCI-H1975	924244	lung	lung_NSCLC_adenocarcinoma	0
NCI-H2107	924246	lung	lung_small_cell_carcinoma	0
SW954	924247	urogenital_system	urogenital_system_other	0
TE-441-T	924248	soft_tissue	rhabdomyosarcoma	0
MKN7	924250	digestive_system	stomach	1
MDA-MB-157	925338	breast	breast	0
MMAC-SF	925339	skin	melanoma	0
MKN45	925340	digestive_system	stomach	0
NCI-H810	925341	lung	lung_NSCLC_large_cell	0
NBsusSR	925342	nervous_system	neuroblastoma	0
MFH-ino	925343	soft_tissue	soft_tissue_other	0
NOS-1	925345	bone	osteosarcoma	0
PANC-03-27	925346	pancreas	pancreas	0
PANC-08-13	925347	pancreas	pancreas	1
PANC-10-05	925348	pancreas	pancreas	0
PLC-PRF-5	925349	digestive_system	liver	1
RL95-2	930082	urogenital_system	endometrium	1
RO82-W-1	930083	thyroid	thyroid	0
SiHa	930297	urogenital_system	cervix	0
SKG-IIIa	930298	urogenital_system	cervix	0
TT	930299	thyroid	thyroid	0
TE-9	946353	aero_digestive_tract	oesophagus	0
TE-11	946354	aero_digestive_tract	oesophagus	0
TE-6	946355	aero_digestive_tract	oesophagus	0
TE-12	946356	aero_digestive_tract	oesophagus	0
TC-YIK	946357	urogenital_system	cervix	0
YT	946358	blood	lymphoid_neoplasm_other	0
BT-474	946359	breast	breast	0
OAW-28	946360	urogenital_system	ovary	0
LCLC-97TM1	946361	lung	lung_NSCLC_large_cell	0
KP-N-YS	946363	nervous_system	neuroblastoma	0
D-247MG	946367	nervous_system	glioma	0
D-263MG	946368	nervous_system	glioma	0
D-336MG	946369	nervous_system	glioma	0
D-392MG	946370	nervous_system	glioma	0
D-423MG	946372	nervous_system	glioma	0
D-502MG	946373	nervous_system	glioma	0
D-566MG	946377	nervous_system	glioma	0
CAMA-1	946382	breast	breast	0
CTB-1	949088	blood	B_cell_lymphoma	0
Caov-4	949090	urogenital_system	ovary	0
CP67-MEL	949092	skin	melanoma	0
M059J	949094	nervous_system	glioma	0
HAL-01	949153	blood	lymphoblastic_leukemia	0
OMC-1	949154	urogenital_system	cervix	0
ES8	949155	bone	ewings_sarcoma	0
ES4	949156	bone	ewings_sarcoma	0
ES6	949157	bone	ewings_sarcoma	0
ES1	949158	bone	ewings_sarcoma	0
EW-7	949160	bone	ewings_sarcoma	0
EW-3	949161	bone	ewings_sarcoma	0
EW-12	949162	bone	ewings_sarcoma	0
EW-1	949163	bone	ewings_sarcoma	0
EW-18	949164	bone	ewings_sarcoma	0
EW-16	949165	bone	ewings_sarcoma	0
EW-13	949166	bone	ewings_sarcoma	0
EW-22	949167	bone	ewings_sarcoma	0
EW-24	949168	bone	ewings_sarcoma	0
LAN-6	949170	nervous_system	neuroblastoma	0
NB10	949171	nervous_system	neuroblastoma	0
NB12	949172	nervous_system	neuroblastoma	0
NB6	949173	nervous_system	neuroblastoma	0
NB7	949174	nervous_system	neuroblastoma	0
NB17	949175	nervous_system	neuroblastoma	0
NB5	949176	nervous_system	neuroblastoma	0
NB13	949177	nervous_system	neuroblastoma	0
NB14	949178	nervous_system	neuroblastoma	0
NB1	949179	nervous_system	neuroblastoma	0
RH-1	971773	soft_tissue	rhabdomyosarcoma	0
RH-18	971774	soft_tissue	rhabdomyosarcoma	1
MZ2-MEL	971777	skin	melanoma	0
