cell_line	AF15Q14 CP	AF1Q CP	AF3P21 CP	AF5Q31 CP	ALO17 CP	ARHH CP	BCL5 CP	C15orf21 CP	CBFA2T1 CP	CDKN2a.p14. CP	CEP1 CP	CMKOR1 CP	COPEB CP	D10S170 CP	ELKS CP	EVI1 CP	FACL6 CP	FOXO1A CP	FOXO3A CP	FVT1 CP	GRAF CP	HCMOGT_1 CP	HEAB CP	HEI10 CP	HLXB9 CP	HRPT2 CP	HSPCA CP	HSPCB CP	IGH CP	IGK CP	IGL CP	IRTA1 CP	KDM5C.JARID1C CP	LAF4 CP	LCX CP	MDS1 CP	MECT1 CP	MHC2TA CP	MLLT2 CP	MLLT7 CP	MSF CP	NBS1 CP	NUT CP	PMX1 CP	PNUTL1 CP	PRO1073 CP	PSIP2 CP	PTCH CP	RAB5EP CP	RUNXBP2 CP	SDH5 CP	SFRS3 CP	SIL CP	SSH3BP1 CP	STL CP	TCF1 CP	TIF1 CP	TNFRSF6 CP	TRA CP	TRB CP	TRD CP	ZNF145 CP	ZNF198 CP	ZNF278 CP	ZNF9 CP	ZNFN1A1 CP	ABL1 CP	ABL2 CP	ACSL3 CP	AKAP9 CP	AKT1 CP	AKT2 CP	ALK CP	APC CP	ARHGEF12 CP	ARNT CP	ASPSCR1 CP	ASXL1 CP	ATF1 CP	ATIC CP	ATM CP	BCL10 CP	BCL11A CP	BCL11B CP	BCL2 CP	BCL3 CP	BCL6 CP	BCL7A CP	BCL9 CP	BCR CP	BIRC3 CP	BLM CP	BMPR1A CP	BRAF CP	BRCA1 CP	BRCA2 CP	BRD3 CP	BRD4 CP	BRIP1 CP	BTG1 CP	BUB1B CP	CANT1 CP	CARD11 CP	CARS CP	CBFA2T3 CP	CBFB CP	CBL CP	CBLB CP	CBLC CP	CCND1 CP	CCND2 CP	CCND3 CP	CD74 CP	CDH1 CP	CDH11 CP	CDK4 CP	CDK6 CP	CDKN2A CP	CDKN2C CP	CDX2 CP	CEBPA CP	CHCHD7 CP	CHEK2 CP	CHIC2 CP	CHN1 CP	CIC CP	CLTC CP	CLTCL1 CP	COL1A1 CP	COX6C CP	CREB1 CP	CREB3L2 CP	CREBBP CP	CRTC3 CP	CTNNB1 CP	CYLD CP	DDB2 CP	DDIT3 CP	DDX10 CP	DDX5 CP	DDX6 CP	DEK CP	DICER1 CP	DUX4 CP	EGFR CP	EIF4A2 CP	ELF4 CP	ELK4 CP	ELL CP	ELN CP	EML4 CP	EP300 CP	EPS15 CP	ERBB2 CP	ERCC2 CP	ERCC3 CP	ERCC4 CP	ERCC5 CP	ERG CP	ETV1 CP	ETV4 CP	ETV5 CP	ETV6 CP	EWSR1 CP	EXT1 CP	EXT2 CP	EZH2 CP	FAM123B CP	FANCA CP	FANCC CP	FANCD2 CP	FANCE CP	FANCF CP	FANCG CP	FBXW7 CP	FCGR2B CP	FEV CP	FGFR1 CP	FGFR1OP CP	FGFR2 CP	FGFR3 CP	FH CP	FIP1L1 CP	FLCN CP	FLI1 CP	FLT3 CP	FNBP1 CP	FOXL2 CP	FOXP1 CP	FSTL3 CP	FUS CP	GAS7 CP	GATA1 CP	GATA2 CP	GMPS CP	GNAQ CP	GNAS CP	GOLGA5 CP	GOPC CP	GPC3 CP	GPHN CP	HERPUD1 CP	HIP1 CP	HIST1H4I CP	HLF CP	HMGA1 CP	HMGA2 CP	HNRNPA2B1 CP	HOOK3 CP	HOXA11 CP	HOXA13 CP	HOXA9 CP	HOXC11 CP	HOXC13 CP	HOXD11 CP	HOXD13 CP	HRAS CP	IDH1 CP	IDH2 CP	IKZF1 CP	IL2 CP	IL21R CP	IL6ST CP	IRF4 CP	ITK CP	JAK2 CP	JAK3 CP	JAZF1 CP	KDM5A CP	KDM6A CP	KDR CP	KIAA1549 CP	KIT CP	KLK2 CP	KRAS CP	KTN1 CP	LASP1 CP	LCK CP	LCP1 CP	LHFP CP	LIFR CP	LMO1 CP	LMO2 CP	LPP CP	LYL1 CP	MAF CP	MAFB CP	MALT1 CP	MAML2 CP	MAP2K4 CP	MDM2 CP	MDM4 CP	MDS2 CP	MEN1 CP	MET CP	MITF CP	MKL1 CP	MLF1 CP	MLH1 CP	MLL CP	MLLT1 CP	MLLT10 CP	MLLT3 CP	MLLT4 CP	MLLT6 CP	MN1 CP	MPL CP	MSH2 CP	MSH6 CP	MSI2 CP	MSN CP	MST1R CP	MTCP1 CP	MUC1 CP	MUTYH CP	MYC CP	MYCL1 CP	MYCN CP	MYH11 CP	MYH9 CP	MYST4 CP	NACA CP	NCAPD2 CP	NCAPD3 CP	NCAPG CP	NCAPG2 CP	NCAPH CP	NCAPH2 CP	NCOA1 CP	NCOA2 CP	NCOA4 CP	NF1 CP	NF2 CP	NFKB2 CP	NIN CP	NONO CP	NOTCH1 CP	NOTCH2 CP	NPM1 CP	NR4A3 CP	NRAS CP	NSD1 CP	NTRK1 CP	NTRK3 CP	NUMA1 CP	NUP214 CP	NUP98 CP	OLIG2 CP	OMD CP	PAFAH1B2 CP	PALB2 CP	PAX3 CP	PAX5 CP	PAX7 CP	PAX8 CP	PBX1 CP	PCM1 CP	PCSK7 CP	PDE4DIP CP	PDGFB CP	PDGFRA CP	PDGFRB CP	PER1 CP	PHOX2B CP	PICALM CP	PIK3CA CP	PIK3R1 CP	PIM1 CP	PLAG1 CP	PML CP	PMS1 CP	PMS2 CP	POU2AF1 CP	POU5F1 CP	PPARG CP	PRCC CP	PRDM16 CP	PRF1 CP	PRKAR1A CP	PTCH1 CP	PTEN CP	PTPN11 CP	RAD51L1 CP	RAF1 CP	RANBP17 CP	RAP1GDS1 CP	RARA CP	RB1 CP	RBM15 CP	RECQL4 CP	REL CP	RET CP	ROS1 CP	RPL22 CP	RPN1 CP	RUNX1 CP	SBDS CP	SDHB CP	SDHC CP	SDHD CP	SEPT6 CP	SET CP	SETD2 CP	SFPQ CP	SH3GL1 CP	SLC45A3 CP	SMAD4 CP	SMARCA4 CP	SMARCB1 CP	SMC2 CP	SMC4 CP	SMO CP	SOCS1 CP	SRGAP3 CP	SS18 CP	SS18L1 CP	SSX1 CP	SSX2 CP	SSX4 CP	STK11 CP	SUFU CP	SUZ12 CP	SYK CP	TAF15 CP	TAL1 CP	TAL2 CP	TCEA1 CP	TCF12 CP	TCF3 CP	TCL1A CP	TCL6 CP	TET2 CP	TFE3 CP	TFEB CP	TFG CP	TFPT CP	TFRC CP	THRAP3 CP	TLX1 CP	TLX3 CP	TMPRSS2 CP	TNFRSF17 CP	TOP1 CP	TP53 CP	TPM3 CP	TPM4 CP	TPR CP	TRIM27 CP	TRIM33 CP	TRIP11 CP	TSC1 CP	TSC2 CP	TSHR CP	TTL CP	USP6 CP	VHL CP	WAS CP	WHSC1 CP	WHSC1L1 CP	WRN CP	WT1 CP	XPA CP	XPC CP	ZNF331 CP	ZNF384 CP	ZNF521 CP	MS-HL MUT	AKT2 MUT	ALK MUT	APC MUT	BRAF MUT	BRCA1 MUT	BRCA2 MUT	CCND1 MUT	CCND2 MUT	CCND3 MUT	CDH1 MUT	CDK4 MUT	CDK6 MUT	CDKN2A MUT	CDKN2C MUT	CDKN2a(p14) MUT	CTNNB1 MUT	CYLD MUT	EGFR MUT	EP300 MUT	ERBB2 MUT	EZH2 MUT	FAM123B MUT	FBXW7 MUT	FGFR2 MUT	FGFR3 MUT	FLCN MUT	FLT3 MUT	GNAS MUT	HRAS MUT	IDH1 MUT	JAK2 MUT	KDM5C MUT	KDM6A MUT	KDR MUT	KIT MUT	KRAS MUT	MAP2K4 MUT	MDM2 MUT	MET MUT	MLH1 MUT	MLLT3 MUT	MSH2 MUT	MSH6 MUT	MYC MUT	MYCL1 MUT	MYCN MUT	NF1 MUT	NF2 MUT	NOTCH1 MUT	NRAS MUT	PDGFRA MUT	PIK3CA MUT	PIK3R1 MUT	PTEN MUT	RB1 MUT	RUNX1 MUT	SETD2 MUT	SMAD4 MUT	SMARCA4 MUT	SMARCB1 MUT	SMO MUT	SOCS1 MUT	STK11 MUT	TET2 MUT	TP53 MUT	TSC1 MUT	VHL MUT	BCR_ABL MUT	EWS_FLI1 MUT	MLL_AFF1 MUT	digestive_system	urogenital_system	blood	kidney	nervous_system	thyroid	skin	soft_tissue	aero_digestive_tract	lung	pancreas	breast	bone
23132-87	2	3	2	2	2	2	2	2	4	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	3	1	2	2	2	2	2	2	1	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	10	2	3	2	3	2	2	2	2	2	2	2	2	10	2	3	2	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	9	2	2	10	2	2	2	2	2	2	10	2	2	2	10	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	4	2	2	10	2	2	10	2	2	2	2	3	2	2	2	10	2	2	2	2	2	2	2	10	10	2	2	2	10	10	10	2	10	2	2	10	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	2	2	10	10	2	10	2	2	2	2	2	2	2	2	2	2	2	10	2	2	2	2	2	2	2	2	2	2	10	10	2	10	10	2	2	2	2	9	2	2	2	2	2	2	10	10	10	3	2	4	2	2	2	2	2	2	10	2	2	2	10	2	2	2	2	2	2	2	2	10	2	2	2	2	10	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	9	2	2	2	2	2	2	10	2	2	2	2	2	2	2	10	10	3	2	2	2	2	2	2	2	10	2	2	2	2	2	4	2	10	2	2	10	2	2	2	3	2	10	2	10	2	2	2	2	2	2	2	10	10	2	10	2	3	10	10	10	2	2	2	2	2	2	2	2	10	2	2	2	2	10	2	10	2	10	2	2	2	2	2	2	2	3	2	3	10	10	2	10	2	2	2	2	10	10	2	2	2	2	2	10	2	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5637	3	3	2	3	4	2	2	3	3	4	4	3	2	2	3	3	3	2	3	3	3	2	4	3	4	3	3	2	3	5	4	3	2	3	2	3	3	2	2	2	4	3	3	3	4	3	4	4	2	3	4	2	3	2	3	4	4	2	3	4	3	3	2	3	3	4	4	3	3	4	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	10	4	3	10	6	3	10	4	4	10	4	3	4	3	3	4	4	4	10	10	3	3	3	4	3	2	3	10	10	3	4	4	3	4	3	3	10	2	3	3	4	4	4	3	3	4	10	3	2	10	4	3	3	4	3	2	3	3	4	10	10	3	3	4	3	10	3	4	3	3	10	4	10	4	4	10	3	10	3	4	4	10	10	4	8	2	4	4	3	3	3	3	3	10	2	3	2	10	3	4	4	3	2	3	10	10	10	3	3	4	4	3	3	10	3	10	4	2	4	2	3	4	3	4	4	4	3	3	3	3	4	3	3	4	3	10	3	2	3	4	3	4	3	10	2	4	2	3	3	3	4	3	10	10	4	4	4	10	3	10	4	3	6	10	3	3	3	4	4	2	10	3	2	3	3	10	4	3	4	9	3	3	3	4	10	2	10	3	3	3	3	3	10	10	10	3	3	3	2	4	3	10	3	3	10	4	10	10	3	10	4	3	4	4	3	4	3	10	4	4	4	10	4	3	10	3	4	3	3	3	2	3	3	10	2	3	10	2	5	10	3	2	3	3	3	4	3	2	8	3	3	10	4	4	10	3	3	8	4	2	4	10	3	3	3	10	3	3	3	9	4	3	3	3	10	4	2	3	3	3	3	3	10	4	3	4	10	9	3	4	10	10	10	3	10	4	4	4	3	4	3	3	3	3	3	3	10	2	3	3	10	3	10	4	10	10	4	10	3	3	3	2	3	3	4	10	3	3	10	8	10	2	3	3	4	4	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
639-V	2	2	3	2	2	2	3	2	3	2	2	2	3	3	3	3	2	2	2	3	2	3	3	3	3	2	3	3	3	4	3	2	2	2	3	3	3	2	2	2	2	3	2	2	3	3	2	2	3	2	3	3	2	3	2	2	3	3	3	3	3	3	2	3	3	3	2	2	10	9	3	2	3	2	4	2	10	4	10	2	3	2	3	3	9	2	10	10	2	3	3	2	3	3	10	2	2	3	10	10	2	10	10	2	2	2	4	10	2	3	3	3	2	2	2	10	10	2	2	2	2	3	3	10	2	2	9	3	10	3	2	3	2	2	10	2	2	10	3	10	4	3	3	10	4	10	10	2	3	10	3	3	2	10	2	2	2	2	2	4	10	10	3	3	10	2	3	10	2	2	10	3	2	2	10	2	2	2	10	3	10	2	10	10	4	2	2	10	10	3	2	10	10	10	10	2	3	3	10	10	3	2	10	3	10	3	10	10	2	4	4	4	10	10	2	2	2	2	2	10	10	2	10	3	2	2	3	4	3	10	10	3	10	2	10	3	10	2	2	2	4	2	2	9	3	2	4	3	3	10	10	2	2	3	10	10	3	10	10	4	3	3	2	3	10	3	2	3	3	10	10	10	10	2	2	10	2	3	2	3	3	10	3	4	10	3	2	3	10	3	3	10	3	3	3	10	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	10	2	2	3	2	2	3	2	3	10	2	10	10	3	10	2	3	3	2	2	10	3	3	10	2	2	3	10	2	3	10	3	10	2	10	10	2	2	3	3	3	10	2	10	2	10	2	2	3	10	2	10	2	3	2	3	3	3	9	10	3	2	10	3	3	10	10	10	3	3	10	2	10	2	10	3	2	3	3	3	10	10	3	10	2	10	2	3	2	2	2	4	10	2	3	2	3	2	10	2	2	10	3	10	10	10	10	2	2	2	2	10	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
647-V	2	3	2	2	3	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	3	3	2	2	3	2	4	2	4	2	3	2	2	2	3	2	2	2	2	3	2	2	3	2	3	2	2	3	3	3	4	3	2	2	3	2	2	2	2	2	3	3	2	3	4	10	3	10	2	10	2	2	10	2	3	2	4	10	10	3	3	4	10	10	2	2	10	3	10	3	10	10	2	3	3	10	2	3	10	10	3	4	3	10	10	2	3	2	3	3	4	10	10	10	10	2	10	3	3	2	3	10	2	10	2	3	10	3	2	10	2	2	10	10	10	3	10	3	3	2	4	10	10	5	2	10	3	2	2	4	10	3	3	2	2	2	3	2	5	3	2	3	10	2	3	2	10	10	10	3	4	3	10	9	3	10	3	2	10	2	3	2	3	2	3	10	3	10	2	2	3	10	3	3	10	3	10	2	10	10	10	2	10	3	3	10	4	3	10	10	10	10	10	10	10	3	10	10	4	2	2	10	4	10	10	2	9	3	10	2	2	2	3	3	10	3	2	10	10	5	3	3	2	2	10	4	10	3	3	10	3	2	3	2	10	10	3	10	2	10	10	10	2	3	10	2	4	4	3	10	10	10	4	2	3	2	2	2	9	10	10	3	3	2	2	2	10	2	2	10	3	10	10	10	10	10	3	10	10	3	10	4	10	3	10	3	2	10	2	2	10	10	2	2	3	10	2	3	10	2	10	3	2	3	3	10	4	3	10	10	4	3	4	3	4	2	10	3	10	10	10	10	3	10	2	3	10	3	3	4	10	2	2	3	2	2	2	3	3	10	10	10	2	2	3	10	2	10	10	3	2	2	3	10	3	10	10	10	2	10	3	10	3	3	10	3	4	2	10	10	2	10	4	3	3	2	2	10	10	2	3	17	3	3	2	3	10	3	10	10	2	10	2	3	3	10	2	3	10	3	10	3	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
697	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	2	2	0	2	2	1	2	2	2	2	2	2	1	2	3	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	0	2	2	2	2	2	2	3	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	2	2	2	10	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	10	3	2	2	2	2	2	2	2	10	2	2	10	2	2	2	2	2	10	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2	3	2	10	2	10	2	2	3	2	2	2	2	2	2	2	2	10	2	2	2	2	3	2	2	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	10	2	2	2	2	2	2	2	10	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	10	10	10	10	2	2	2	2	2	2	2	2	9	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	10	10	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
786-0	4	4	4	4	4	4	4	4	6	0	4	4	4	4	4	4	4	2	4	3	4	4	4	4	5	4	4	4	4	7	4	4	2	4	4	4	4	4	3	4	4	6	4	4	4	4	4	4	4	2	4	4	4	4	4	3	5	4	4	5	4	4	2	4	4	5	10	4	4	5	10	3	4	10	4	4	4	4	10	4	4	4	4	10	3	3	10	3	4	4	4	4	10	5	4	10	10	4	4	3	4	4	5	4	4	4	10	10	3	4	4	4	10	4	4	3	5	0	4	10	10	6	4	3	4	3	4	4	4	6	4	5	4	4	10	4	4	3	4	4	4	4	10	10	5	10	10	4	4	5	4	4	4	4	3	4	4	10	4	5	4	10	4	4	6	4	5	10	4	10	10	4	4	10	10	4	4	10	4	10	4	4	3	4	4	10	10	10	10	3	4	4	10	10	10	10	4	10	4	10	10	4	5	10	4	4	3	5	10	5	5	5	3	3	4	4	4	4	4	5	4	4	10	4	10	10	3	5	4	10	3	5	3	3	4	10	4	4	10	10	6	4	4	10	4	4	4	3	4	4	3	4	4	4	5	10	4	10	10	4	4	4	10	4	4	4	4	4	4	4	10	10	10	4	4	6	4	4	4	4	10	3	4	4	4	5	4	4	4	6	4	4	4	10	10	10	10	4	10	10	4	10	4	4	10	10	4	4	10	4	4	4	10	4	4	4	10	4	4	4	3	10	4	4	4	10	10	4	6	4	4	5	4	4	10	4	4	4	4	10	10	3	10	10	10	4	4	10	4	5	4	4	4	4	10	4	5	4	4	4	10	10	10	4	3	4	10	4	4	10	10	5	4	10	4	4	10	10	10	3	10	4	10	4	4	10	6	10	3	10	10	4	10	4	10	3	10	4	10	10	4	4	4	4	4	4	4	10	4	10	10	4	10	4	4	10	10	4	10	10	4	10	10	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
8-MG-BA	2	2	2	2	3	2	3	2	4	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	3	5	2	2	1	2	2	3	2	2	2	1	3	4	2	2	2	3	2	2	2	2	3	3	4	2	2	2	2	2	2	2	2	1	3	2	3	4	2	2	2	10	10	10	2	2	10	2	10	3	2	2	10	4	2	10	10	10	3	2	2	10	10	2	10	10	9	10	2	10	10	2	2	10	3	2	10	10	10	3	10	3	10	3	2	10	10	2	10	2	4	10	4	4	10	2	2	10	10	10	10	4	2	10	10	2	10	10	2	2	10	10	10	3	10	2	4	3	10	2	10	3	2	10	4	10	10	2	10	4	3	3	10	3	10	10	4	2	10	10	10	2	10	3	2	2	2	2	2	2	10	10	2	9	2	10	10	10	2	3	10	10	10	10	10	3	3	2	3	10	10	10	10	10	10	3	10	3	2	4	2	4	4	4	2	2	2	2	2	2	2	4	2	10	2	3	3	2	10	4	10	10	2	10	2	10	10	10	10	4	10	10	3	2	2	3	10	10	3	10	10	10	2	2	9	3	10	10	10	3	10	10	10	10	2	10	10	10	10	2	2	10	10	10	10	2	3	3	4	2	10	9	10	2	10	10	2	10	2	10	2	4	10	10	10	10	10	10	2	4	3	2	4	3	2	2	3	2	2	3	2	10	10	2	2	4	2	2	10	10	2	10	2	2	10	2	10	3	2	3	4	2	2	3	10	3	10	2	10	10	10	2	10	2	10	10	3	2	10	0	4	3	2	10	10	10	3	3	10	3	2	10	10	2	10	4	3	2	10	10	10	2	3	10	10	10	10	3	10	10	10	10	10	10	2	10	4	2	4	2	10	10	10	2	10	3	3	10	3	4	10	3	3	10	3	10	2	10	2	3	4	10	2	10	10	2	10	10	10	2	2	2	2	2	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8505C	3	3	4	4	3	2	4	3	4	4	4	2	2	2	3	4	4	2	3	3	3	3	4	3	3	3	3	3	6	6	2	3	2	2	2	4	3	3	2	2	3	4	3	3	2	4	2	4	3	4	4	3	3	2	4	3	3	2	3	3	3	4	2	2	4	4	4	3	3	3	10	4	9	10	4	3	10	5	3	10	4	3	10	10	3	4	4	3	3	10	4	3	10	3	10	10	4	3	10	3	3	10	4	4	10	0	4	4	4	4	3	3	3	10	10	3	3	4	3	10	4	4	10	10	10	4	10	10	10	4	10	3	10	3	4	10	4	3	4	10	4	3	10	10	4	4	10	3	3	3	10	10	3	10	4	10	10	10	4	4	10	4	3	10	4	4	3	10	10	4	4	3	4	4	10	3	10	10	3	10	10	3	10	10	4	10	4	4	4	3	10	10	10	4	4	4	4	10	3	10	10	10	3	3	10	3	3	4	4	4	4	4	3	3	10	10	4	10	3	4	10	10	4	3	3	10	3	4	3	10	10	3	10	4	3	10	10	3	10	10	4	4	4	4	3	10	5	10	4	10	3	3	3	4	3	4	10	4	4	4	3	10	10	3	10	10	3	10	10	10	10	4	10	3	3	4	3	10	10	10	10	3	3	4	10	10	3	10	10	4	10	10	10	10	10	10	4	3	4	4	3	4	3	3	4	4	4	4	5	4	10	3	4	3	10	3	10	4	3	10	10	3	10	10	4	4	4	3	4	3	3	4	4	3	4	3	3	10	10	4	10	3	10	4	4	10	10	10	3	4	10	10	3	3	4	4	3	3	3	4	10	4	4	3	3	3	3	3	10	4	5	3	10	4	3	4	10	10	10	3	10	10	4	10	3	4	4	3	3	10	10	10	10	3	4	4	4	3	10	4	4	10	5	10	3	3	3	3	3	10	4	10	10	10	10	4	10	10	10	10	4	4	4	4	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A101D	2	3	2	2	2	3	3	2	2	0	2	3	2	2	3	3	2	3	2	2	2	2	2	2	6	3	2	3	2	5	3	3	2	3	2	3	3	2	3	2	2	2	2	3	7	3	2	2	2	2	2	3	3	2	2	3	6	2	2	6	2	2	3	3	3	4	10	3	3	4	10	3	3	10	2	10	2	4	3	3	2	3	3	10	2	3	3	3	10	10	2	2	10	6	2	3	10	3	2	3	2	2	4	10	10	10	2	3	3	2	3	3	10	10	10	10	4	0	3	3	3	10	10	3	3	3	2	7	2	10	3	6	10	2	10	10	2	10	2	2	2	3	10	2	4	3	10	3	3	4	3	10	3	2	3	3	10	3	10	4	2	3	3	10	10	2	6	10	10	10	10	3	2	10	2	3	3	10	10	10	3	3	3	2	2	3	10	3	9	3	10	2	10	3	3	10	4	10	10	10	10	10	4	3	2	3	3	4	10	4	4	4	3	3	3	3	2	3	2	4	2	10	10	3	10	10	3	4	3	10	3	6	3	3	3	10	2	3	3	3	3	2	2	3	3	10	4	2	2	2	3	3	3	2	5	3	10	3	10	2	3	10	10	10	2	10	3	3	3	2	10	10	10	10	3	10	3	3	10	10	10	3	3	2	10	10	3	10	3	10	10	2	10	10	10	10	10	10	10	10	3	10	10	2	2	10	2	10	10	2	10	3	10	3	3	3	10	2	10	10	3	10	2	3	2	3	10	3	10	2	3	4	2	3	10	10	3	10	2	10	0	3	10	10	10	2	2	3	3	3	3	10	10	3	3	10	4	3	3	2	10	10	10	3	3	3	2	3	10	10	3	4	10	10	2	4	10	10	10	3	10	2	10	2	3	10	10	2	3	10	10	2	10	3	3	3	3	3	10	10	10	10	4	2	10	3	3	3	3	10	10	10	10	3	2	10	10	3	10	10	2	10	10	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
